이학재,9770625,PRC_C1T6L1K1U2A4P1D5N5A7K1X2L9R3F6,초·중등교육법 일부개정법률안(대안),0
이학재,9770625,PRC_A1S6E1Y1A0M7R0U9D4I0W2Q0I0B8Y7,모자보건법 일부개정법률안(대안),0
이학재,9770625,PRC_V1C6U0W7B0I5N1P8T0U8M0F3Q4C1K2,평창동계올림픽 및 국제경기대회지원 특별위원회 구성결의안,0
이학재,9770625,PRC_R1L6C0H6L1R4U1F8X0B1T2A0E4Q5M2,대한민국 정부와 카메룬공화국 정부 간의 투자 증진 및 보호에 관한 협정 비준동의안,0
이학재,9770625,PRC_O1D6N1C1L0I9J1V7P3H6K2D8T0R1S2,유아공교육체제발전특별회계법안,0
이학재,9770625,PRC_H1K6M0G7O1A4H1L6Y3L3V0J0X5F3E8,대한민국과 에티오피아연방민주공화국 간의 소득에 대한 조세의 이중과세 방지와 탈세 예방을 위한 협약 비준동의안,0
이학재,9770625,PRC_P1P6O0W7W0V5H1L8H0H5X4M2X9O3J2,저출산·고령화대책 특별위원회 구성결의안,0
이학재,9770625,PRC_V1Z6G0T6K1Y4U1A7E5A0R0G6G0R9D1,대한민국 정부와 브루나이다루살람 정부 간의 소득에 대한 조세의 이중과세 방지와 탈세 예방을 위한 협정 비준동의안,0
이학재,9770625,PRC_M1E6M0C9J0Z6Z1Y1X0F3Y4I8J8D2R2,2017년도 무역보험계약체결한도에 대한 동의안,0
이학재,9770625,PRC_T1L6E1K1J2U9P1H6U2N7I1M2N5Y0Y5,교육세법 일부개정법률안(대안),0
이학재,9770625,PRC_A1G6G0N8P1F9E0L9O5H4J5F2H1Y6C1,교육용 전기요금 인하 촉구 결의안,0
이학재,9770625,PRC_B1H6K1H1H3T0L1Z7D1E8E3J9C5I0K9,상속세 및 증여세법 일부개정법률안(대안),0
이학재,9770625,PRC_H1I6Z1L0N1H4B1J6R2E1Q3D5N8P8G4,중국어선 불법조업 근절 대책 촉구 결의안,0
이학재,9770625,PRC_V1Z6E1F1Q0T4Z1M7N3I9S2Q0G3J4O6,마약류 관리에 관한 법률 일부개정법률안(대안),0
